Date,Open,High,Low,Close
11/06/2019,233,233.399994,227.5,227.5
12/06/2019,228,232.100006,225.600006,227.5
13/06/2019,220,230.300003,220,229.5
14/06/2019,228.600006,231,223.199997,224.399994
17/06/2019,225,227.899994,223.600006,227
18/06/2019,228,236.899994,222.300003,235.5
19/06/2019,238.5,238.5,232.100006,235
20/06/2019,235.5,237.399994,231.899994,236.600006
21/06/2019,236,238.699997,235.300003,236.699997
24/06/2019,236,238.199997,230.5,231.300003
25/06/2019,231.100006,232,224.600006,228.199997
26/06/2019,227.5,228.600006,222.800003,224.199997
27/06/2019,224.300003,229.100006,224.199997,227.199997
28/06/2019,227.899994,228.399994,225.800003,226.699997
01/07/2019,228.899994,232.800003,226.600006,231.399994
02/07/2019,231.699997,233.699997,230.800003,231.699997
03/07/2019,232.5,235,230.399994,233.800003
04/07/2019,234,236.399994,234,234.899994
05/07/2019,235,239.800003,234.300003,237.300003
08/07/2019,237.199997,238.300003,234.399994,234.699997
09/07/2019,234,236.199997,233.300003,233.600006
10/07/2019,233.800003,239,233.600006,237.100006
11/07/2019,238,242.300003,237.199997,241.300003
12/07/2019,240.800003,242.100006,239.399994,242.100006
15/07/2019,241.399994,243,238.399994,240.199997
16/07/2019,239.800003,242.199997,238.600006,238.899994
17/07/2019,238.800003,240.300003,238,238.5
18/07/2019,237.699997,239.199997,235.199997,236.699997
19/07/2019,236.899994,239,236.699997,238.300003
22/07/2019,238.199997,239.199997,235.199997,235.199997
23/07/2019,235.5,235.899994,227.199997,229.899994
24/07/2019,229.399994,230.699997,227.199997,228
25/07/2019,229.5,229.5,225.399994,226.899994
26/07/2019,226.899994,227.399994,223.5,226
29/07/2019,225.800003,229.899994,224.800003,226.699997
30/07/2019,227.699997,227.699997,222.899994,223.199997
31/07/2019,223,226.300003,222.024002,223.300003
01/08/2019,221.899994,226.800003,221.100006,224
02/08/2019,222.100006,224.5,220.399994,220.699997
05/08/2019,218.600006,219.936996,216.199997,217.100006
06/08/2019,216.600006,217.600006,213.800003,214.899994
07/08/2019,217.5,217.5,215.139999,216.800003
08/08/2019,217.800003,220.190994,215.899994,219.699997
09/08/2019,218.5,219.725998,216.699997,218.199997
12/08/2019,219,220,216.399994,216.800003
13/08/2019,216.100006,217.100006,213.167999,214.100006
14/08/2019,214.100006,215.800003,213.300003,214.300003
15/08/2019,215.100006,216.100006,211.699997,213.100006
16/08/2019,212.199997,216.100006,212.199997,216.100006
19/08/2019,216.100006,219.919006,214.699997,219.699997
20/08/2019,218.800003,220,215.399994,215.699997
21/08/2019,215.699997,216.399994,213.899994,214.300003
22/08/2019,213.600006,217,213.442993,213.5
23/08/2019,214.899994,216.300003,212.600006,212.600006
27/08/2019,211.600006,214.699997,210.699997,213.699997
28/08/2019,213.899994,220.192001,212.899994,218.800003
29/08/2019,218.600006,220.001999,217.615005,218.800003
30/08/2019,218.800003,222.399994,218.100006,219.199997
02/09/2019,220.100006,225.300003,220.009995,224.199997
03/09/2019,224.699997,225.199997,220.5,225
04/09/2019,227.5,229.074997,225.800003,227.5
05/09/2019,228.699997,229.75,227,229.300003
06/09/2019,228.600006,232.899994,228.600006,232.5
09/09/2019,233.5,233.899994,230.199997,230.600006
10/09/2019,226,231.5,224.199997,231.399994
11/09/2019,231.800003,236.399994,231.800003,234.300003
12/09/2019,235.899994,238.100006,234.699997,235.899994
13/09/2019,235.100006,241.100006,234.940002,240.399994
16/09/2019,238.699997,240.800003,236.800003,237.5
17/09/2019,236.100006,237.979004,233.199997,234.5
18/09/2019,234.100006,237,234.100006,235.5
19/09/2019,235,236.5,233.800003,236.5
20/09/2019,235.600006,242,235.306,241.5
23/09/2019,241,241.5,237.699997,240.399994
24/09/2019,241.100006,243,239.100006,239.600006
25/09/2019,238.600006,240.300003,235.539993,237.899994
26/09/2019,238.100006,242.600006,237.199997,240.899994
27/09/2019,241.199997,246.399994,240.699997,244.5
30/09/2019,243.600006,244.639999,241,241
01/10/2019,241.699997,243.688995,239.399994,239.5
02/10/2019,233,245,232.600006,240
03/10/2019,238.899994,242,233.399994,236.300003
04/10/2019,236.800003,238.085999,233.126007,237.199997
07/10/2019,237,237.600006,234.5,237
08/10/2019,238.100006,238.100006,229.5,229.800003
09/10/2019,230.199997,231,226.800003,227.300003
10/10/2019,225.100006,227.608994,220.699997,227.399994
11/10/2019,228.100006,244.399994,224,242.199997
14/10/2019,241.800003,244.119995,224,239.100006
15/10/2019,239.5,245.399994,237,244.199997
16/10/2019,243.5,245.399994,238.100006,243.300003
17/10/2019,242.5,246.800003,239.600006,242.600006
18/10/2019,243,247.5,241.5,244
21/10/2019,244.399994,247.699997,244.341995,245.5
22/10/2019,244.899994,246.720001,243.5,244.399994
23/10/2019,243.699997,244.979996,241.899994,242.100006
24/10/2019,243.300003,244.899994,240.800003,241.199997
25/10/2019,240.199997,241.399994,236.199997,239.600006
28/10/2019,240.399994,293.399994,236.279999,239.800003
29/10/2019,239,240.699997,236.623001,238.800003
30/10/2019,237.899994,239.600006,233.300003,235.699997
31/10/2019,235.699997,236.600006,232.5,235.199997
01/11/2019,237.100006,238.5,235.899994,237.899994
04/11/2019,238.399994,240,236.199997,239.600006
05/11/2019,240,240.300003,237.600006,238.399994
06/11/2019,238.699997,240.300003,236.899994,237.300003
07/11/2019,239.199997,242.100006,238.300003,242.100006
08/11/2019,240.100006,241.5,237.399994,237.899994
11/11/2019,236.300003,238.345001,234.600006,237.699997
12/11/2019,236.699997,237.800003,232.399994,233.800003
13/11/2019,233.300003,233.899994,230.600006,232
14/11/2019,231.399994,233.899994,230.300003,230.899994
15/11/2019,231.199997,234,229.300003,233.800003
18/11/2019,232.899994,236.800003,232.315994,235.300003
19/11/2019,235.300003,238.199997,233.399994,235.100006
20/11/2019,234.399994,234.800003,231.899994,232.600006
21/11/2019,231.699997,232.473999,228.100006,229.800003
22/11/2019,231.899994,233.600006,230.800003,232.600006
25/11/2019,232.600006,236.222,232.199997,233.600006
26/11/2019,234,234.199997,231.800003,232.800003
27/11/2019,233.300003,234.699997,230.300003,234.5
28/11/2019,234.699997,238.300003,234.076996,237.399994
29/11/2019,235.800003,236.5,229.399994,229.399994
02/12/2019,228.899994,231.934998,227.899994,231.5
03/12/2019,230.699997,231.600006,223.699997,226.300003
04/12/2019,225.5,228.699997,224.800003,226.100006
05/12/2019,226,227.100006,224,227
06/12/2019,226.699997,232.300003,226.5,232.300003
09/12/2019,241,246,234.199997,243.100006
10/12/2019,245,245.699997,237.899994,240.300003
11/12/2019,240.300003,240.5,237,239.699997
12/12/2019,240,242.5,238.699997,241.800003
13/12/2019,253.899994,256.299988,240.199997,251.300003
16/12/2019,251.300003,260.399994,251.240005,258.899994
17/12/2019,257,257.070007,251.100006,253.300003
18/12/2019,253.100006,254,215.600006,251.699997
19/12/2019,252.899994,254.300003,250.699997,252.100006
20/12/2019,252.100006,253.619995,250.246002,251.899994
23/12/2019,251.5,253.600006,249.240005,253
24/12/2019,252.899994,253.600006,250.240005,253.399994
27/12/2019,254.699997,256.299988,253.539993,256
30/12/2019,256.100006,257.269989,254.839996,255.5
31/12/2019,254.800003,257.070007,253.5,255.199997
02/01/2020,256.200012,257.970001,255.199997,255.800003
03/01/2020,252.899994,256.200012,251.899994,255.100006
06/01/2020,253.100006,255.369995,251.800003,254
07/01/2020,254.100006,257.869995,253.600006,254.5
08/01/2020,251.899994,253.669998,249.128006,251
09/01/2020,252.399994,258.399994,252.371994,253.300003
10/01/2020,253.399994,254.720001,248.899994,249.399994
13/01/2020,249.699997,254.720001,247.089996,248.600006
14/01/2020,249.100006,250.654007,248.171997,250.100006
15/01/2020,250.5,251.199997,246.100006,247.600006
16/01/2020,247.699997,248.710007,243.223007,245
17/01/2020,247,248.800003,246.699997,248.600006
20/01/2020,248,248.373993,246.199997,246.199997
21/01/2020,244.800003,245.899994,243.300003,244.600006
22/01/2020,244.199997,246.300003,241.100006,241.899994
23/01/2020,241.399994,243,240.600006,243
24/01/2020,244.5,250.326004,244.251007,248.899994
27/01/2020,246.399994,247.699997,244.100006,245.300003
28/01/2020,245.800003,246.725006,243.800003,246
29/01/2020,246.399994,246.899994,244.542007,246.100006
30/01/2020,244.600006,249.274994,244.141006,247.899994
31/01/2020,249,249.399994,245.151993,246.899994
03/02/2020,247.399994,252.100006,247,248.899994
04/02/2020,249.699997,251.399994,249.399994,250.300003
05/02/2020,248.800003,252.399994,248,248.300003
06/02/2020,249.800003,255.399994,248.800003,254.399994
07/02/2020,254.600006,256.200012,252.399994,254.800003
10/02/2020,255.600006,258.399994,252.5,256.799988
11/02/2020,257.399994,259.200012,253.600006,253.800003
12/02/2020,253.600006,257.5,251,256.600006
13/02/2020,256.5,257.100006,251.100006,252.100006
14/02/2020,252.300003,258.549988,251.5,255.800003
17/02/2020,258,258.799988,256.200012,257.399994
18/02/2020,255.899994,332.670013,255.5,256.5
19/02/2020,257,257.5,254.800003,256.600006
20/02/2020,256.600006,258.596985,254.899994,254.899994
21/02/2020,254.300003,256.399994,253.699997,255.699997
24/02/2020,251.300003,252.199997,248.300003,249.300003
25/02/2020,249.899994,254.300003,241.699997,243
26/02/2020,240.100006,242.460007,236.899994,241.399994
27/02/2020,238.699997,239.5,229,231
28/02/2020,223,229.199997,218.199997,228.5
02/03/2020,235,238.199997,226.649994,228.199997
03/03/2020,229.100006,237.5,229,235.100006
04/03/2020,236.300003,241.600006,234.399994,240.800003
05/03/2020,241.300003,242.100006,236.600006,240.899994
06/03/2020,238.199997,244.5,237.5,240.600006
09/03/2020,230.800003,243.304001,229.800003,240.5
10/03/2020,244.300003,249.975998,241.699997,242.100006
11/03/2020,245,246,231.699997,232.100006
12/03/2020,225.399994,230.600006,210.399994,211.199997
13/03/2020,218.199997,234.104996,217,220.100006
16/03/2020,218.199997,224.5,209.699997,216.5
17/03/2020,222.399994,226,213.699997,225.899994
18/03/2020,222,237.5,218.300003,228.600006
19/03/2020,231.699997,237.300003,219.399994,226.100006
20/03/2020,235,235,213.300003,218.399994
23/03/2020,208.399994,225,203.699997,212.199997
24/03/2020,221.399994,222.899994,208.5,216.800003
25/03/2020,218.899994,223.300003,206.656006,221.5
26/03/2020,216.100006,234.199997,215.600006,234.199997
27/03/2020,230.699997,233.300003,223.511002,232.600006
30/03/2020,233.800003,235,223.511002,233.100006
31/03/2020,233,237.899994,221.016006,228.800003
01/04/2020,222.300003,227.5,217.699997,223.399994
02/04/2020,223,226.800003,217.399994,218.800003
03/04/2020,219.100006,223.899994,215.410995,223.899994
06/04/2020,224.399994,230.720993,221.600006,221.600006
07/04/2020,226,228.600006,220.199997,224.199997
08/04/2020,214,222.899994,207,222.899994
09/04/2020,222.899994,235.199997,221.800003,232
14/04/2020,232.300003,238.399994,229,235.100006
15/04/2020,234.800003,237.240005,230.600006,232.600006
16/04/2020,233.199997,236.919998,232.5,235.800003
17/04/2020,239.899994,239.899994,233.710999,238.100006
20/04/2020,239,239,232.699997,235.300003
21/04/2020,232,237.399994,232,233.5
22/04/2020,234.699997,240.399994,233.699997,240.100006
23/04/2020,239.600006,240.600006,233.899994,234.699997
24/04/2020,232.899994,236.100006,232.800003,236.100006
27/04/2020,237.800003,238.100006,233,235.300003
28/04/2020,234.399994,237.100006,231.899994,236.199997
29/04/2020,235.600006,242,234.899994,240.5
30/04/2020,241.699997,242.100006,235.100006,235.100006
01/05/2020,232.300003,236.300003,230.899994,236.300003
04/05/2020,236.399994,237.699997,232.899994,233.800003
05/05/2020,236.699997,236.699997,232.899994,234.199997
06/05/2020,234.399994,236.199997,232.199997,234.5
07/05/2020,234.100006,238.899994,233.899994,237.300003
11/05/2020,238.699997,238.800003,236.207993,238.100006
12/05/2020,236.399994,260,235.100006,246.699997
13/05/2020,245,250.005005,243.699997,248.199997
14/05/2020,245.300003,247.800003,236.600006,238.800003
15/05/2020,239.600006,242.899994,237.300003,240
18/05/2020,240.399994,242.899994,237,241.899994
19/05/2020,243.100006,244.692993,235,237.5
20/05/2020,235,239.300003,234.199997,234.399994
21/05/2020,227.899994,228.899994,224.690994,227.100006
22/05/2020,224.199997,227.600006,221.988007,227.300003
26/05/2020,231.100006,231.852005,222.899994,224.300003
27/05/2020,225,231.300003,224.5,228.399994
28/05/2020,230.300003,234.804993,228,234.100006
29/05/2020,232.5,234.5,228.300003,228.300003
01/06/2020,228.300003,232.800003,228.300003,231.899994
02/06/2020,232.100006,232.800003,226.975006,229.100006
03/06/2020,231.600006,234.550003,224.699997,229.699997
04/06/2020,229.100006,232.201996,228,231.100006
05/06/2020,232.199997,232.699997,226.800003,227.699997
08/06/2020,226.600006,229.199997,224.800003,228.699997
09/06/2020,224.699997,228.300003,221.600006,223.399994
10/06/2020,222.600006,229.399994,222.600006,227
11/06/2020,224.100006,229.399994,223.199997,227.399994
